Freq(Hz), SPL(dB)
127.180481, 105.557
127.516937, 105.494
127.853394, 105.449
128.189850, 105.417
128.526306, 105.387
128.862762, 105.349
129.199219, 105.301
129.535675, 105.247
129.872131, 105.193
130.208588, 105.138
130.545044, 105.078
130.881500, 105.008
131.217957, 104.928
131.554413, 104.842
131.890869, 104.755
132.227325, 104.670
132.563782, 104.589
132.900238, 104.509
133.236694, 104.430
133.573151, 104.350
133.909607, 104.270
134.246063, 104.191
134.582520, 104.109
134.918976, 104.025
135.255432, 103.933
135.591888, 103.830
135.928345, 103.717
136.264801, 103.595
136.601257, 103.471
136.937714, 103.354
137.274170, 103.251
137.610626, 103.163
137.947083, 103.084
138.283539, 103.005
138.619995, 102.916
138.956451, 102.812
139.292908, 102.695
139.629364, 102.573
139.965820, 102.454
140.302277, 102.345
140.638733, 102.248
140.975189, 102.162
141.311646, 102.085
141.648102, 102.017
141.984558, 101.955
142.321014, 101.895
142.657471, 101.832
142.993927, 101.762
143.330383, 101.689
143.666840, 101.616
144.003296, 101.553
144.339752, 101.501
144.676208, 101.457
145.012665, 101.413
145.349121, 101.362
145.685577, 101.305
146.022034, 101.253
146.358490, 101.222
146.694946, 101.220
147.031403, 101.243
147.367859, 101.273
147.704315, 101.286
148.040771, 101.271
148.377228, 101.228
148.713684, 101.177
149.050140, 101.137
149.386597, 101.122
149.723053, 101.131
150.059509, 101.156
150.395966, 101.186
150.732422, 101.215
151.068878, 101.242
151.405334, 101.269
151.741791, 101.299
152.078247, 101.327
152.414703, 101.351
152.751160, 101.370
153.087616, 101.386
153.424072, 101.400
153.760529, 101.415
154.096985, 101.429
154.433441, 101.443
154.769897, 101.455
155.106354, 101.466
155.442810, 101.477
155.779266, 101.486
156.115723, 101.490
156.452179, 101.489
156.788635, 101.482
157.125092, 101.475
157.461548, 101.474
157.798004, 101.481
158.134460, 101.491
158.470917, 101.498
158.807373, 101.495
159.143829, 101.482
159.480286, 101.467
159.816742, 101.459
160.153198, 101.463
160.489655, 101.479
160.826111, 101.497
161.162567, 101.506
161.499023, 101.503
161.835480, 101.490
162.171936, 101.476
162.508392, 101.468
162.844849, 101.471
163.181305, 101.483
163.517761, 101.498
163.854218, 101.509
164.190674, 101.515
164.527130, 101.517
164.863586, 101.516
165.200043, 101.514
165.536499, 101.512
165.872955, 101.508
166.209412, 101.503
166.545868, 101.498
166.882324, 101.494
167.218781, 101.496
167.555237, 101.503
167.891693, 101.515
168.228149, 101.530
168.564606, 101.544
168.901062, 101.552
169.237518, 101.554
169.573975, 101.547
169.910431, 101.536
170.246887, 101.523
170.583344, 101.512
170.919800, 101.504
171.256256, 101.500
171.592712, 101.498
171.929169, 101.495
172.265625, 101.491
172.602081, 101.485
172.938538, 101.479
173.274994, 101.473
173.611450, 101.468
173.947906, 101.464
174.284363, 101.457
174.620819, 101.446
174.957275, 101.428
175.293732, 101.406
175.630188, 101.379
175.966644, 101.352
176.303101, 101.328
176.639557, 101.308
176.976013, 101.294
177.312469, 101.284
177.648926, 101.277
177.985382, 101.270
178.321838, 101.260
178.658295, 101.245
178.994751, 101.224
179.331207, 101.199
179.667664, 101.174
180.004120, 101.151
180.340576, 101.133
180.677032, 101.120
181.013489, 101.109
181.349945, 101.096
181.686401, 101.078
182.022858, 101.053
182.359314, 101.025
182.695770, 100.998
183.032227, 100.976
183.368683, 100.960
183.705139, 100.947
184.041595, 100.931
184.378052, 100.909
184.714508, 100.879
185.050964, 100.840
185.387421, 100.798
185.723877, 100.756
186.060333, 100.715
186.396790, 100.676
186.733246, 100.636
187.069702, 100.595
187.406158, 100.552
187.742615, 100.510
188.079071, 100.474
188.415527, 100.447
188.751984, 100.431
189.088440, 100.426
189.424896, 100.427
189.761353, 100.433
190.097809, 100.439
190.434265, 100.442
190.770721, 100.444
191.107178, 100.444
191.443634, 100.447
191.780090, 100.456
192.116547, 100.476
192.453003, 100.506
192.789459, 100.545
193.125916, 100.589
193.462372, 100.635
193.798828, 100.681
194.135284, 100.727
194.471741, 100.775
194.808197, 100.824
195.144653, 100.874
195.481110, 100.923
195.817566, 100.968
196.154022, 101.009
196.490479, 101.046
196.826935, 101.085
197.163391, 101.132
197.499847, 101.188
197.836304, 101.251
198.172760, 101.317
198.509216, 101.379
198.845673, 101.433
199.182129, 101.477
199.518585, 101.515
199.855042, 101.551
200.191498, 101.590
200.527954, 101.633
200.864410, 101.678
201.200867, 101.724
201.537323, 101.767
201.873779, 101.807
202.210236, 101.844
202.546692, 101.878
202.883148, 101.913
203.219604, 101.948
203.556061, 101.984
203.892517, 102.021
204.228973, 102.056
204.565430, 102.089
204.901886, 102.118
205.238342, 102.145
205.574799, 102.172
205.911255, 102.200
206.247711, 102.229
206.584167, 102.258
206.920624, 102.283
207.257080, 102.301
207.593536, 102.315
207.929993, 102.327
208.266449, 102.340
208.602905, 102.351
208.939362, 102.350
209.275818, 102.320
209.612274, 102.253
209.948730, 102.151
210.285187, 102.035
210.621643, 101.945
210.958099, 101.921
211.294556, 101.987
211.631012, 102.133
211.967468, 102.325
212.303925, 102.517
212.640381, 102.680
212.976837, 102.800
213.313293, 102.885
213.649750, 102.949
213.986206, 103.006
214.322662, 103.064
214.659119, 103.121
214.995575, 103.174
215.332031, 103.218
215.668488, 103.255
216.004944, 103.289
216.341400, 103.322
216.677856, 103.355
217.014313, 103.388
217.350769, 103.419
217.687225, 103.448
218.023682, 103.475
218.360138, 103.502
218.696594, 103.530
219.033051, 103.557
219.369507, 103.582
219.705963, 103.602
220.042419, 103.618
220.378876, 103.632
220.715332, 103.648
221.051788, 103.666
221.388245, 103.685
221.724701, 103.705
222.061157, 103.723
222.397614, 103.737
222.734070, 103.750
223.070526, 103.760
223.406982, 103.771
223.743439, 103.781
224.079895, 103.791
224.416351, 103.801
224.752808, 103.810
225.089264, 103.819
225.425720, 103.827
225.762177, 103.834
226.098633, 103.839
226.435089, 103.842
226.771545, 103.842
227.108002, 103.840
227.444458, 103.837
227.780914, 103.833
228.117371, 103.829
228.453827, 103.824
228.790283, 103.818
229.126740, 103.811
229.463196, 103.802
229.799652, 103.793
230.136108, 103.784
230.472565, 103.776
230.809021, 103.769
