Freq(Hz), SPL(dB)
127.180481, 107.402
127.516937, 107.317
127.853394, 107.225
128.189850, 107.124
128.526306, 107.016
128.862762, 106.902
129.199219, 106.784
129.535675, 106.659
129.872131, 106.525
130.208588, 106.381
130.545044, 106.229
130.881500, 106.072
131.217957, 105.914
131.554413, 105.755
131.890869, 105.596
132.227325, 105.438
132.563782, 105.280
132.900238, 105.122
133.236694, 104.963
133.573151, 104.801
133.909607, 104.637
134.246063, 104.473
134.582520, 104.310
134.918976, 104.150
135.255432, 103.993
135.591888, 103.839
135.928345, 103.685
136.264801, 103.533
136.601257, 103.383
136.937714, 103.237
137.274170, 103.096
137.610626, 102.959
137.947083, 102.825
138.283539, 102.696
138.619995, 102.571
138.956451, 102.452
139.292908, 102.341
139.629364, 102.239
139.965820, 102.144
140.302277, 102.056
140.638733, 101.972
140.975189, 101.889
141.311646, 101.805
141.648102, 101.718
141.984558, 101.634
142.321014, 101.560
142.657471, 101.506
142.993927, 101.475
143.330383, 101.460
143.666840, 101.446
144.003296, 101.416
144.339752, 101.361
144.676208, 101.287
145.012665, 101.214
145.349121, 101.163
145.685577, 101.150
146.022034, 101.171
146.358490, 101.207
146.694946, 101.237
147.031403, 101.248
147.367859, 101.244
147.704315, 101.237
148.040771, 101.240
148.377228, 101.260
148.713684, 101.292
149.050140, 101.324
149.386597, 101.345
149.723053, 101.354
150.059509, 101.355
150.395966, 101.357
150.732422, 101.367
151.068878, 101.386
151.405334, 101.412
151.741791, 101.442
152.078247, 101.473
152.414703, 101.504
152.751160, 101.532
153.087616, 101.556
153.424072, 101.571
153.760529, 101.576
154.096985, 101.573
154.433441, 101.566
154.769897, 101.561
155.106354, 101.559
155.442810, 101.559
155.779266, 101.557
156.115723, 101.550
156.452179, 101.536
156.788635, 101.518
157.125092, 101.501
157.461548, 101.488
157.798004, 101.480
158.134460, 101.473
158.470917, 101.462
158.807373, 101.442
159.143829, 101.409
159.480286, 101.364
159.816742, 101.308
160.153198, 101.248
160.489655, 101.189
160.826111, 101.136
161.162567, 101.089
161.499023, 101.048
161.835480, 101.009
162.171936, 100.966
162.508392, 100.917
162.844849, 100.860
163.181305, 100.796
163.517761, 100.728
163.854218, 100.661
164.190674, 100.600
164.527130, 100.549
164.863586, 100.510
165.200043, 100.483
165.536499, 100.464
165.872955, 100.449
166.209412, 100.437
166.545868, 100.426
166.882324, 100.417
167.218781, 100.412
167.555237, 100.413
167.891693, 100.421
168.228149, 100.438
168.564606, 100.465
168.901062, 100.502
169.237518, 100.550
169.573975, 100.606
169.910431, 100.668
170.246887, 100.731
170.583344, 100.793
170.919800, 100.852
171.256256, 100.911
171.592712, 100.969
171.929169, 101.032
172.265625, 101.099
172.602081, 101.170
172.938538, 101.244
173.274994, 101.320
173.611450, 101.396
173.947906, 101.473
174.284363, 101.550
174.620819, 101.627
174.957275, 101.703
